"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Editors","Publisher","PubMed ID","Document Type","Open Access","Source","EID"
"Jagtap S.; Pirayre A.; Bidard F.; Duval L.; Malliaros F.D.","Jagtap, Surabhi (57419843500); Pirayre, Aurélie (56539942800); Bidard, Frédérique (6508011367); Duval, Laurent (7003935694); Malliaros, Fragkiskos D. (55604732900)","57419843500; 56539942800; 6508011367; 7003935694; 55604732900","BRANEnet: embedding multilayer networks for omics data integration","2022","BMC Bioinformatics","1","10.1186/s12859-022-04955-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139822733&doi=10.1186%2fs12859-022-04955-w&partnerID=40&md5=72a529dcecefffcaa5600e983db32298","Background: Gene expression is regulated at different molecular levels, including chromatin accessibility, transcription, RNA maturation, and transport. These regulatory mechanisms have strong connections with cellular metabolism. In order to study the cellular system and its functioning, omics data at each molecular level can be generated and efficiently integrated. Here, we propose BRANEnet, a novel multi-omics integration framework for multilayer heterogeneous networks. BRANEnet is an expressive, scalable, and versatile method to learn node embeddings, leveraging random walk information within a matrix factorization framework. Our goal is to efficiently integrate multi-omics data to study different regulatory aspects of multilayered processes that occur in organisms. We evaluate our framework using multi-omics data of Saccharomyces cerevisiae, a well-studied yeast model organism. Results: We test BRANEnet on transcriptomics (RNA-seq) and targeted metabolomics (NMR) data for wild-type yeast strain during a heat-shock time course of 0, 20, and 120 min. Our framework learns features for differentially expressed bio-molecules showing heat stress response. We demonstrate the applicability of the learned features for targeted omics inference tasks: transcription factor (TF)-target prediction, integrated omics network (ION) inference, and module identification. The performance of BRANEnet is compared to existing network integration methods. Our model outperforms baseline methods by achieving high prediction scores for a variety of downstream tasks. © 2022, The Author(s).","Biological network integration; Graph representation learning; Multi-omics data; Multilayer network; Regulatory network inference","Chromatin; RNA; RNA-Seq; Saccharomyces cerevisiae; Transcription Factors; Data integration; Embeddings; Factorization; Heterogeneous networks; Multilayers; RNA; Transcription; RNA; transcription factor; 'omics'; Biological network integration; Biological networks; Graph representation; Graph representation learning; Multi-layer network; Multi-omic data; Network inference; Network integration; Regulatory network; Regulatory network inference; chromatin; genetics; metabolism; Saccharomyces cerevisiae; Yeast","","BioMed Central Ltd","36245002","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85139822733"
"Buendia P.; Bradley R.M.; Taylor T.J.; Schymanski E.L.; Patti G.J.; Kabuka M.R.","Buendia, Patricia (6505889908); Bradley, Ray M. (24400738000); Taylor, Thomas J. (24482434500); Schymanski, Emma L. (24068144000); Patti, Gary J. (23985800700); Kabuka, Mansur R. (6603881919)","6505889908; 24400738000; 24482434500; 24068144000; 23985800700; 6603881919","Erratum: Ontology-based metabolomics data integration with quality control (Bioanalysis (2019) 11:12 (1139-1155) DOI: 10.4155/bio-2018-0303)","2020","Bioanalysis","0","10.4155/bio-2018-0303e1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080851345&doi=10.4155%2fbio-2018-0303e1&partnerID=40&md5=178e9f4a813cc7c43ce06e284ba61f8f","The Methodology by Patricia Buendia, Ray M Bradley, Thomas J Taylor, Emma L Schymanski, Gary J Patti and Mansur R Kabuka, 'Ontology-based metabolomics data integration with quality control', which appeared in the June 2019 issue of Bioanalysis 11(12), 1139-1155 (2019), was published with incorrectly formatted version of Figure 6. Figure 6 has now been corrected and is included below. This correction effected page numbers which have now been updated to 1139-1154. (Figure Presented). The editors of Bioanalysis would like to sincerely apologize for any inconvenience or confusion this may have caused our readers. © 2019 Newlands Press.","","erratum","","Future Medicine Ltd.","31407923","Erratum","All Open Access; Green Open Access","Scopus","2-s2.0-85080851345"
"Buendia P.; Bradley R.M.; Taylor T.J.; Schymanski E.L.; Patti G.J.; Kabuka M.R.","Buendia, Patricia (6505889908); Bradley, Ray M (24400738000); Taylor, Thomas J (24482434500); Schymanski, Emma L (24068144000); Patti, Gary J (23985800700); Kabuka, Mansur R (6603881919)","6505889908; 24400738000; 24482434500; 24068144000; 23985800700; 6603881919","Ontology-based metabolomics data integration with quality control","2019","Bioanalysis","6","10.4155/bio-2018-0303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069896082&doi=10.4155%2fbio-2018-0303&partnerID=40&md5=ee3d81fabf54a7d7ce380a701791eeb0","Aim: The complications that arise when performing meta-analysis of datasets from multiple metabolomics studies are addressed with computational methods that ensure data quality, completeness of metadata and accurate interpretation across studies. Results & methodology: This paper presents an integrated system of quality control (QC) methods to assess metabolomics results by evaluating the data acquisition strategies and metabolite identification process when integrating datasets for meta-analysis. An ontology knowledge base and a rule-based system representing the experiment and chemical background information direct the processes involved in data integration and QC verification. A diabetes meta-analysis study using these QC methods finds putative biomarkers that differ between cohorts. Conclusion: The methods presented here ensure the validity of meta-analysis when integrating data from different metabolic profiling studies. © 2019 Newlands Press.","data integration; diabetes use case; meta-analysis; metabolomics; ontology-based expert system; quality control","Biological Ontologies; Data Analysis; Diabetes Mellitus; Humans; Metabolomics; Quality Control; biological marker; Article; cohort analysis; diabetes mellitus; human; medical documentation; medical information; meta analysis (topic); metabolic fingerprinting; metabolomics; ontology; quality control; biological ontology; data analysis; metabolism; metabolomics; procedures; quality control","","Future Medicine Ltd.","31179719","Article","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85069896082"
"Brière G.; Darbo É.; Thébault P.; Uricaru R.","Brière, Galadriel (57205374956); Darbo, Élodie (24343757900); Thébault, Patricia (22949187900); Uricaru, Raluca (36667545600)","57205374956; 24343757900; 22949187900; 36667545600","Consensus clustering applied to multi-omics disease subtyping","2021","BMC Bioinformatics","33","10.1186/s12859-021-04279-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109416466&doi=10.1186%2fs12859-021-04279-1&partnerID=40&md5=cea21ea99eaa2408c23ddb5ee75ea1e3","Background: Facing the diversity of omics data and the difficulty of selecting one result over all those produced by several methods, consensus strategies have the potential to reconcile multiple inputs and to produce robust results. Results: Here, we introduce ClustOmics, a generic consensus clustering tool that we use in the context of cancer subtyping. ClustOmics relies on a non-relational graph database, which allows for the simultaneous integration of both multiple omics data and results from various clustering methods. This new tool conciliates input clusterings, regardless of their origin, their number, their size or their shape. ClustOmics implements an intuitive and flexible strategy, based upon the idea of evidence accumulation clustering. ClustOmics computes co-occurrences of pairs of samples in input clusters and uses this score as a similarity measure to reorganize data into consensus clusters. Conclusion: We applied ClustOmics to multi-omics disease subtyping on real TCGA cancer data from ten different cancer types. We showed that ClustOmics is robust to heterogeneous qualities of input partitions, smoothing and reconciling preliminary predictions into high-quality consensus clusters, both from a computational and a biological point of view. The comparison to a state-of-the-art consensus-based integration tool, COCA, further corroborated this statement. However, the main interest of ClustOmics is not to compete with other tools, but rather to make profit from their various predictions when no gold-standard metric is available to assess their significance. Availability: The ClustOmics source code, released under MIT license, and the results obtained on TCGA cancer data are available on GitHub: https://github.com/galadrielbriere/ClustOmics. © 2021, The Author(s).","Consensus clustering; Data integration; Disease subtyping; Multi-omic data","Algorithms; Cluster Analysis; Consensus; Humans; Neoplasms; Software; Cluster analysis; Formal languages; Graph Databases; Clustering methods; Consensus clustering; Consensus strategy; Evidence accumulation; Flexible strategies; Integration tools; Similarity measure; Simultaneous integration; algorithm; cluster analysis; consensus; genetics; human; neoplasm; software; Diseases","","BioMed Central Ltd","34229612","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85109416466"
"Wang Z.; He Y.","Wang, Zhigang (56040375200); He, Yongqun (57202054543)","56040375200; 57202054543","Precision omics data integration and analysis with interoperable ontologies and their application for COVID-19 research","2021","Briefings in Functional Genomics","7","10.1093/bfgp/elab029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112127056&doi=10.1093%2fbfgp%2felab029&partnerID=40&md5=676ef659e3850e1ccd6f7ee7b4b5174e","Omics technologies are widely used in biomedical research. Precision medicine focuses on individual-level disease treatment and prevention. Here, we propose the usage of the term 'precision omics' to represent the combinatorial strategy that applies omics to translate large-scale molecular omics data for precision disease understanding and accurate disease diagnosis, treatment and prevention. Given the complexity of both omics and precision medicine, precision omics requires standardized representation and integration of heterogeneous data types. Ontology has emerged as an important artificial intelligence component to become critical for standard data and metadata representation, standardization and integration. To support precision omics, we propose a precision omics ontology hypothesis, which hypothesizes that the effectiveness of precision omics is positively correlated with the interoperability of ontologies used for data and knowledge integration. Therefore, to make effective precision omics studies, interoperable ontologies are required to standardize and incorporate heterogeneous data and knowledge in a human- and computer-interpretable manner. Methods for efficient development and application of interoperable ontologies are proposed and illustrated. With the interoperable omics data and knowledge, omics tools such as OmicsViz can also be evolved to process, integrate, visualize and analyze various omics data, leading to the identification of new knowledge and hypotheses of molecular mechanisms underlying the outcomes of diseases such as COVID-19. Given extensive COVID-19 omics research, we propose the strategy of precision omics supported by interoperable ontologies, accompanied with ontology-based semantic reasoning and machine learning, leading to systematic disease mechanism understanding and rational design of precision treatment and prevention. Short Abstract: Precision medicine focuses on individual-level disease treatment and prevention. Precision omics is a new strategy that applies omics for precision medicine research, which requires standardized representation and integration of individual genetics and phenotypes, experimental conditions, and data analysis settings. Ontology has emerged as an important artificial intelligence component to become critical for standard data and metadata representation, standardization and integration. To support precision omics, interoperable ontologies are required in order to standardize and incorporate heterogeneous data and knowledge in a human- and computer-interpretable manner. With the interoperable omics data and knowledge, omics tools such as OmicsViz can also be evolved to process, integrate, visualize and analyze various omics data, leading to the identification of new knowledge and hypotheses of molecular mechanisms underlying disease outcomes. The precision COVID-19 omics study is provided as the primary use case to illustrate the rationale and implementation of the precision omics strategy.  © 2021 The Author(s) 2021. Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oup.com.","COVID-19; interoperability; omics; ontology; precision medicine; precision omics","COVID-19; Genomics; Humans; Precision Medicine; Proteomics; SARS-CoV-2; Article; artificial intelligence; coronavirus disease 2019; data analysis; data integration; genomics; human; machine learning; medical research; metabolomics; metadata; omics; ontology; personalized medicine; phenotype; genomics; isolation and purification; metabolism; proteomics; virology","","Oxford University Press","34159360","Article","All Open Access; Green Open Access","Scopus","2-s2.0-85112127056"
"Adel-Patient K.; Campeotto F.; Grauso M.; Guillon B.; Moroldo M.; Venot E.; Dietrich C.; Machavoine F.; Castelli F.A.; Fenaille F.; Molina T.J.; Barbet P.; Delacourt C.; Leite-de-Moraes M.; Lezmi G.","Adel-Patient, Karine (6602369274); Campeotto, Florence (6602933186); Grauso, Marta (58326995400); Guillon, Blanche (23099979700); Moroldo, Marco (24438165100); Venot, Eric (6504119680); Dietrich, Céline (49461174300); Machavoine, François (6603515768); Castelli, Florence A. (57225344660); Fenaille, François (6602970160); Molina, Thierry Jo (7006604147); Barbet, Patrick (6603696039); Delacourt, Christophe (7006682738); Leite-de-Moraes, Maria (8708596300); Lezmi, Guillaume (55121510400)","6602369274; 6602933186; 58326995400; 23099979700; 24438165100; 6504119680; 49461174300; 6603515768; 57225344660; 6602970160; 7006604147; 6603696039; 7006682738; 8708596300; 55121510400","Assessment of local and systemic signature of eosinophilic esophagitis (EoE) in children through multi-omics approaches","2023","Frontiers in Immunology","1","10.3389/fimmu.2023.1108895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151280084&doi=10.3389%2ffimmu.2023.1108895&partnerID=40&md5=c92fe086f84dea7d18c0e2a03e2fbd49","Background: Eosinophilic oesophagitis (EoE) is a chronic food allergic disorder limited to oesophageal mucosa whose pathogenesis is still only partially understood. Moreover, its diagnosis and follow-up need repeated endoscopies due to absence of non-invasive validated biomarkers. In the present study, we aimed to deeply describe local immunological and molecular components of EoE in well-phenotyped children, and to identify potential circulating EoE-biomarkers. Methods: Blood and oesophageal biopsies were collected simultaneously from French children with EoE (n=17) and from control subjects (n=15). Untargeted transcriptomics analysis was performed on mRNA extracted from biopsies using microarrays. In parallel, we performed a comprehensive analysis of immune components on both cellular and soluble extracts obtained from both biopsies and blood, using flow cytometry. Finally, we performed non-targeted plasma metabolomics using liquid chromatography coupled to high-resolution mass spectrometry (LC-HRMS). Uni/multivariate supervised and non-supervised statistical analyses were then conducted to identify significant and discriminant components associated with EoE within local and/or systemic transcriptomics, immunologic and metabolomics datasets. As a proof of concept, we conducted multi-omics data integration to identify a plasmatic signature of EoE. Results: French children with EoE shared the same transcriptomic signature as US patients. Network visualization of differentially expressed (DE) genes highlighted the major dysregulation of innate and adaptive immune processes, but also of pathways involved in epithelial cells and barrier functions, and in perception of chemical stimuli. Immune analysis of biopsies highlighted EoE is associated with dysregulation of both type (T) 1, T2 and T3 innate and adaptive immunity, in a highly inflammatory milieu. Although an immune signature of EoE was found in blood, untargeted metabolomics more efficiently discriminated children with EoE from control subjects, with dysregulation of vitamin B6 and various amino acids metabolisms. Multi-blocks integration suggested that an EoE plasma signature may be identified by combining metabolomics and cytokines datasets. Conclusions: Our study strengthens the evidence that EoE results from alterations of the oesophageal epithelium associated with altered immune responses far beyond a simplistic T2 dysregulation. As a proof of concept, combining metabolomics and cytokines data may provide a set of potential plasma biomarkers for EoE diagnosis, which needs to be confirmed on a larger and independent cohort. Copyright © 2023 Adel-Patient, Campeotto, Grauso, Guillon, Moroldo, Venot, Dietrich, Machavoine, Castelli, Fenaille, Molina, Barbet, Delacourt, Leite-de-Moraes and Lezmi.","children; Eosinophilic oesophagitis; food allergy; immune response; metabolomics; multi-omics signature; transcriptomics","Adaptive Immunity; Biomarkers; Child; Cytokines; Eosinophilic Esophagitis; Humans; Multiomics; biological marker; cytokine; gamma interferon; glycodeoxycholic acid; interleukin 10; interleukin 13; interleukin 17; interleukin 4; interleukin 5; lipopolysaccharide; proton pump inhibitor; serine proteinase inhibitor; thymus and activation regulated chemokine; transcriptome; cytokine; adaptive immunity; apoptosis; Article; CD8+ T lymphocyte; cell isolation; child; controlled study; differential gene expression; dysphagia; endoscopy; eosinophilic esophagitis; erythema; esophagus biopsy; esophagus epithelium; extracellular matrix; flow cytometry; food allergy; gastroscopy; gene expression; gene ontology; high performance liquid chromatography; human; immune response; immunophenotyping; innate immunity; lipid metabolism; mass fragmentography; metabolomics; microarray analysis; mucosal-associated invariant T cell; multiomics; phenotype; principal component analysis; regulatory T lymphocyte; sensitivity and specificity; transcriptome sequencing; transcriptomics; vomiting; metabolism","","Frontiers Media S.A.","37006253","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85151280084"
"Guhlin J.; Silverstein K.A.T.; Zhou P.; Tiffin P.; Young N.D.","Guhlin, Joseph (55931223500); Silverstein, Kevin A.T. (6701778348); Zhou, Peng (7401848795); Tiffin, Peter (7003835274); Young, Nevin D. (7402413082)","55931223500; 6701778348; 7401848795; 7003835274; 7402413082","ODG: Omics database generator - a tool for generating, querying, and analyzing multi-omics comparative databases to facilitate biological understanding","2017","BMC Bioinformatics","11","10.1186/s12859-017-1777-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027521412&doi=10.1186%2fs12859-017-1777-7&partnerID=40&md5=7a3500487e582afb613c45ed16b21ba3","Background: Rapid generation of omics data in recent years have resulted in vast amounts of disconnected datasets without systemic integration and knowledge building, while individual groups have made customized, annotated datasets available on the web with few ways to link them to in-lab datasets. With so many research groups generating their own data, the ability to relate it to the larger genomic and comparative genomic context is becoming increasingly crucial to make full use of the data. Results: The Omics Database Generator (ODG) allows users to create customized databases that utilize published genomics data integrated with experimental data which can be queried using a flexible graph database. When provided with omics and experimental data, ODG will create a comparative, multi-dimensional graph database. ODG can import definitions and annotations from other sources such as InterProScan, the Gene Ontology, ENZYME, UniPathway, and others. This annotation data can be especially useful for studying new or understudied species for which transcripts have only been predicted, and rapidly give additional layers of annotation to predicted genes. In better studied species, ODG can perform syntenic annotation translations or rapidly identify characteristics of a set of genes or nucleotide locations, such as hits from an association study. ODG provides a web-based user-interface for configuring the data import and for querying the database. Queries can also be run from the command-line and the database can be queried directly through programming language hooks available for most languages. ODG supports most common genomic formats as well as generic, easy to use tab-separated value format for user-provided annotations. Conclusions: ODG is a user-friendly database generation and query tool that adapts to the supplied data to produce a comparative genomic database or multi-layered annotation database. ODG provides rapid comparative genomic annotation and is therefore particularly useful for non-model or understudied species. For species for which more data are available, ODG can be used to conduct complex multi-omics, pattern-matching queries. © 2017 The Author(s).","Annotation; Comparative genomics; Data integration; Graph database; Non-model species","Databases, Nucleic Acid; Genomics; Molecular Sequence Annotation; Software; Database systems; Genes; Pattern matching; Query languages; Query processing; User interfaces; Annotated datasets; Annotation; Comparative genomic; Comparative genomics; Database generation; Graph database; Model species; Systemic integration; genomics; molecular genetics; nucleic acid database; software; Data integration","","BioMed Central Ltd.","28797229","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85027521412"
"Dudley J.; Chen D.P.; Butte A.J.","Dudley, Joel (18633685600); Chen, David P. (55494020800); Butte, Atul J. (7003333396)","18633685600; 55494020800; 7003333396","Using SNOMED-CT for translational genomics data integration","2008","CEUR Workshop Proceedings","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872863395&partnerID=40&md5=00ed4357550bb565b07e265e59b3f415","As industrial, governmental, and academic agencies place increasing emphasis on translational research, biomedical researchers are now faced with entirely new challenges in regards to both biomedical data integration and knowledge discovery. There is now both a strong need and a tremendous opportunity to apply translational bioinformatics to address the fundamental challenges in integrating the vast bodies of -omics and clinical data. Here we report on our preliminary work in utilizing SNOMED-CT as both a tool for translational data discovery, and a major component in a framework for the large-scale integration of gene expression microarray data and clinical laboratory data. Annotations from microarray experiments in NCBI GEO were mapped to SNOMED-CT terms using UMLS, and these mappings were joined to clinical laboratory data using ICD9CM to SNOMED-CT mappings within UMLS. We find that microarray experiments characterizing 211 distinct diseases can be mapped to clinical laboratory data measurements for 13,452 distinct patients. We maintain that this work represents critical first steps in providing a foundation for large-scale translational data integration, and underlines the important role that controlled clinical terminologies, such as SNOMEDCT, can play in addressing such problems.","","Bioinformatics; Experiments; Gene expression; Genetic engineering; Industrial research; Knowledge representation; Biomedical data integration; Clinical data; Clinical terminology; Data discovery; Data integration; Data measurements; Gene expression microarray; Genomics; ICD9-CM; Microarray experiments; Translational Research; Clinical laboratories","","","","Conference paper","","Scopus","2-s2.0-84872863395"
"Gomez-Cabrero D.; Menche J.; Vargas C.; Cano I.; Maier D.; Barabási A.-L.; Tegnér J.; Roca J.","Gomez-Cabrero, David (24779430500); Menche, Jörg (14621838300); Vargas, Claudia (56708163600); Cano, Isaac (55855721300); Maier, Dieter (57216165152); Barabási, Albert-László (7006567633); Tegnér, Jesper (7004724921); Roca, Josep (24784609700)","24779430500; 14621838300; 56708163600; 55855721300; 57216165152; 7006567633; 7004724921; 24784609700","From comorbidities of chronic obstructive pulmonary disease to identification of shared molecular mechanisms by data integration","2016","BMC Bioinformatics","19","10.1186/s12859-016-1291-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998706906&doi=10.1186%2fs12859-016-1291-3&partnerID=40&md5=9706e30b9155f36faa3ca0c5996db9f5","Background: Deep mining of healthcare data has provided maps of comorbidity relationships between diseases. In parallel, integrative multi-omics investigations have generated high-resolution molecular maps of putative relevance for understanding disease initiation and progression. Yet, it is unclear how to advance an observation of comorbidity relations (one disease to others) to a molecular understanding of the driver processes and associated biomarkers. Results: Since Chronic Obstructive Pulmonary disease (COPD) has emerged as a central hub in temporal comorbidity networks, we developed a systematic integrative data-driven framework to identify shared disease-associated genes and pathways, as a proxy for the underlying generative mechanisms inducing comorbidity. We integrated records from approximately 13 M patients from the Medicare database with disease-gene maps that we derived from several resources including a semantic-derived knowledge-base. Using rank-based statistics we not only recovered known comorbidities but also discovered a novel association between COPD and digestive diseases. Furthermore, our analysis provides the first set of COPD co-morbidity candidate biomarkers, including IL15, TNF and JUP, and characterizes their association to aging and life-style conditions, such as smoking and physical activity. Conclusions: The developed framework provides novel insights in COPD and especially COPD co-morbidity associated mechanisms. The methodology could be used to discover and decipher the molecular underpinning of other comorbidity relationships and furthermore, allow the identification of candidate co-morbidity biomarkers. © 2016 The Author(s).","","Aging; Biomarkers; Chromosome Mapping; Cluster Analysis; Comorbidity; Databases, Factual; Disease Progression; Humans; Life Style; Principal Component Analysis; Pulmonary Disease, Chronic Obstructive; Risk; Smoking; Biomarkers; Data integration; Epidemiology; Genes; Health insurance; Knowledge based systems; Semantics; biological marker; Associated mechanism; Chronic obstructive pulmonary disease; Disease initiations; Generative mechanism; Molecular mechanism; Molecular understanding; Novel associations; Physical activity; aging; chromosomal mapping; cluster analysis; comorbidity; disease course; factual database; genetics; human; lifestyle; metabolism; pathology; principal component analysis; Pulmonary Disease, Chronic Obstructive; risk; smoking; Pulmonary diseases","","BioMed Central Ltd.","28185567","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84998706906"
"Zhou G.; Xia J.","Zhou, Guangyan (57189035356); Xia, Jianguo (57206724254)","57189035356; 57206724254","Using OmicsNet for Network Integration and 3D Visualization","2019","Current Protocols in Bioinformatics","35","10.1002/cpbi.69","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058840008&doi=10.1002%2fcpbi.69&partnerID=40&md5=181cb28edd8119709b9edcbdd6fab0fe","OmicsNet is a novel web-based tool for creating and visualizing complex biological networks in 3D space. By coupling a comprehensive knowledgebase with the powerful WebGL technology, OmicsNet allows researchers to intuitively explore molecular interactions and regulatory relationships among genes, transcription factors, microRNAs, and metabolites. OmicsNet fills an important gap by facilitating multi-omics integration and systems biology. This article contains three basic protocols covering the key features of OmicsNet, including how to create biological networks from a single or multiple list(s) of molecules, how to integrate or enrich different types of networks, and how to navigate the 3D visualization system to obtain biological insights. The OmicsNet web server is freely available at https://www.omicsnet.ca. © 2018 by John Wiley & Sons, Inc. © 2018 John Wiley & Sons, Inc.","3D network visualization; metabolic network; miRNA-gene interactions; multi-omics integration; network analysis; PPI; TF-gene interactions; web application","Gene Regulatory Networks; Imaging, Three-Dimensional; Protein Interaction Maps; Software; microRNA; transcription factor; algorithm; Article; gene interaction; knowledge base; metabolite; molecular interaction; network learning; omics; priority journal; protein protein interaction; systems biology; gene regulatory network; protein analysis; software; three dimensional imaging","","John Wiley and Sons Inc.","30556956","Article","","Scopus","2-s2.0-85058840008"
"Verbeke L.P.C.; Van Den Eynden J.; Fierro A.C.; Demeester P.; Fostier J.; Marchal K.","Verbeke, Lieven P. C. (6603000156); Van Den Eynden, Jimmy (57193973045); Fierro, Ana Carolina (16506050600); Demeester, Piet (35597696900); Fostier, Jan (15063921100); Marchal, Kathleen (6701798877)","6603000156; 57193973045; 16506050600; 35597696900; 15063921100; 6701798877","Pathway relevance ranking for tumor samples through network-based data integration","2015","PLoS ONE","19","10.1371/journal.pone.0133503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941710829&doi=10.1371%2fjournal.pone.0133503&partnerID=40&md5=835a7a1ea8d451948b39d65bdff8b1c3","The study of cancer, a highly heterogeneous disease with different causes and clinical outcomes, requires a multi-angle approach and the collection of large multi-omics datasets that, ideally, should be analyzed simultaneously. We present a new pathway relevance ranking method that is able to prioritize pathways according to the information contained in any combination of tumor related omics datasets. Key to the method is the conversion of all available data into a single comprehensive network representation containing not only genes but also individual patient samples. Additionally, all data are linked through a network of previously identified molecular interactions. We demonstrate the performance of the new method by applying it to breast and ovarian cancer datasets from The Cancer Genome Atlas. By integrating gene expression, copy number, mutation and methylation data, the method's potential to identify key pathways involved in breast cancer development shared by different molecular subtypes is illustrated. Interestingly, certain pathways were ranked equally important for different subtypes, even when the underlying (epi)-genetic disturbances were diverse. Next to prioritizing universally high-scoring pathways, the pathway ranking method was able to identify subtype-specific pathways. Often the score of a pathway could not be motivated by a single mutation, copy number or methylation alteration, but rather by a combination of genetic and epi-genetic disturbances, stressing the need for a network-based data integration approach. The analysis of ovarian tumors, as a function of survival-based subtypes, demonstrated the method's ability to correctly identify key pathways, irrespective of tumor subtype. A differential analysis of survival-based subtypes revealed several pathways with higher importance for the bad-outcome patient group than for the good-outcome patient group. Many of the pathways exhibiting higher importance for the bad-outcome patient group could be related to ovarian tumor proliferation and survival. Copyright © 2015 Verbeke et al.","","Breast Neoplasms; Computational Biology; DNA Copy Number Variations; DNA Methylation; Female; Gene Expression Profiling; Gene Expression Regulation, Neoplastic; Gene Regulatory Networks; Humans; MAP Kinase Signaling System; Mutation; Ovarian Neoplasms; Proto-Oncogene Proteins c-akt; STAT Transcription Factors; messenger RNA; protein kinase B; STAT protein; Article; breast cancer; cancer survival; controlled study; DNA methylation; epigenetics; gene dosage; gene expression; gene mutation; information processing; intermethod comparison; mathematical phenomena; measurement accuracy; neoplasm; ovary cancer; pathway relevance ranking; tumor classification; biology; breast tumor; copy number variation; female; gene expression profiling; gene expression regulation; gene regulatory network; genetics; human; metabolism; mutation; ovary tumor; procedures; signal transduction","","Public Library of Science","26217958","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84941710829"
"Li X.; Ma J.; Leng L.; Han M.; Li M.; He F.; Zhu Y.","Li, Xiao (57225159772); Ma, Jie (56555416700); Leng, Ling (55497199000); Han, Mingfei (55991641900); Li, Mansheng (55266623600); He, Fuchu (7201951930); Zhu, Yunping (9248689600)","57225159772; 56555416700; 55497199000; 55991641900; 55266623600; 7201951930; 9248689600","MoGCN: A Multi-Omics Integration Method Based on Graph Convolutional Network for Cancer Subtype Analysis","2022","Frontiers in Genetics","22","10.3389/fgene.2022.806842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124893869&doi=10.3389%2ffgene.2022.806842&partnerID=40&md5=c28dd1a8c78397d63f1d8e1149747c88","In light of the rapid accumulation of large-scale omics datasets, numerous studies have attempted to characterize the molecular and clinical features of cancers from a multi-omics perspective. However, there are great challenges in integrating multi-omics using machine learning methods for cancer subtype classification. In this study, MoGCN, a multi-omics integration model based on graph convolutional network (GCN) was developed for cancer subtype classification and analysis. Genomics, transcriptomics and proteomics datasets for 511 breast invasive carcinoma (BRCA) samples were downloaded from the Cancer Genome Atlas (TCGA). The autoencoder (AE) and the similarity network fusion (SNF) methods were used to reduce dimensionality and construct the patient similarity network (PSN), respectively. Then the vector features and the PSN were input into the GCN for training and testing. Feature extraction and network visualization were used for further biological knowledge discovery and subtype classification. In the analysis of multi-dimensional omics data of the BRCA samples in TCGA, MoGCN achieved the highest accuracy in cancer subtype classification compared with several popular algorithms. Moreover, MoGCN can extract the most significant features of each omics layer and provide candidate functional molecules for further analysis of their biological effects. And network visualization showed that MoGCN could make clinically intuitive diagnosis. The generality of MoGCN was proven on the TCGA pan-kidney cancer datasets. MoGCN and datasets are public available at https://github.com/Lifoof/MoGCN. Our study shows that MoGCN performs well for heterogeneous data integration and the interpretability of classification results, which confers great potential for applications in biomarker identification and clinical diagnosis. Copyright © 2022 Li, Ma, Leng, Han, Li, He and Zhu.","autoencoder; cancer subtype classification; graph convolutional network; multi-omics integration; similarity network fusion","estrogen receptor; fibroblast growth factor receptor; mammalian target of rapamycin; matrix metalloproteinase; tumor necrosis factor; apoptosis; Article; autoencoder; breast cancer; cancer diagnosis; convolution algorithm; gene expression; gene overexpression; genomics; human; invasive carcinoma; major clinical study; mathematical parameters; multiomics; Pi3K/Akt signaling; protein expression; proteomics; RNA sequence; signal transduction; support vector machine; training; transcriptomics; Wnt signaling","","Frontiers Media S.A.","","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85124893869"
